date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
03/01/2005,4.020390698,4.136003134,3.97655961,4.11504044,172998172,63.29,0,65.11,62.6,64.78,1,12357000
04/01/2005,4.061680854,4.158871528,4.000063237,4.05278759,274202874,63.94,0,65.47,62.97,63.8,1,19585900
05/01/2005,4.097253911,4.144896398,4.068668419,4.095348212,170108570,64.5,0,65.25,64.05,64.47,1,12150600
06/01/2005,4.100430077,4.123298471,4.022931631,4.109005725,176388976,64.55,0,64.91,63.33,64.685,1,12599200
07/01/2005,4.398989664,4.423128524,4.11313474,4.129015569,556863156,69.25,0,69.63,64.75,65,1,39775900
10/01/2005,4.380567902,4.491098473,4.311962721,4.44027982,431327831,68.96,0,70.7,67.88,69.9,1,30809100
11/01/2005,4.10106531,4.392637333,4.074385517,4.336101581,652907452,64.56,0,69.15,64.14,68.26,1,46636200
12/01/2005,4.158236295,4.186186554,4.021025931,4.15124873,479926079,65.46,0,65.9,63.3,65.35,1,34280400
13/01/2005,4.433927488,4.72740521,4.429480856,4.678492257,791179991,69.8,0,74.42,69.73,73.65,1,56512800
14/01/2005,4.459336815,4.555892256,4.395178265,4.461877748,442686042,70.2,0,71.72,69.19,70.24,1,31620400
18/01/2005,4.487922307,4.491098473,4.396448732,4.430116089,251615251,70.65,0,70.7,69.21,69.74,1,17972500
19/01/2005,4.439009354,4.539376194,4.430751322,4.484746141,187973987,69.88,0,71.46,69.75,70.6,1,13426700
20/01/2005,4.475852877,4.527306763,4.412964794,4.424398991,228730828,70.46,0,71.27,69.47,69.65,1,16337900
21/01/2005,4.477758577,4.548269458,4.446632152,4.524130598,227833427,70.49,0,71.6,70,71.22,1,16273800
24/01/2005,4.494909872,4.559703655,4.481569976,4.508885002,210407610,70.76,0,71.78,70.55,70.98,1,15029100
25/01/2005,4.57685495,4.62703837,4.506344069,4.536200028,242308042,72.05,0,72.84,70.94,71.41,1,17307700
26/01/2005,4.589559614,4.621321272,4.524130598,4.61687464,184874384,72.25,0,72.75,71.22,72.68,1,13205300
27/01/2005,4.614333707,4.632120236,4.545093292,4.583842515,124056924,72.64,0,72.92,71.55,72.16,1,8861200
