date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
27/03/2014,558.46,568,552.92,568,13100,558.46,0,568,552.92,568,1,13100
28/03/2014,559.99,566.43,558.67,561.2,41100,559.99,0,566.43,558.67,561.2,1,41100
31/03/2014,556.97,567,556.93,566.89,10800,556.97,0,567,556.93,566.89,1,10800
01/04/2014,567.16,568.45,558.71,558.71,7900,567.16,0,568.45,558.71,558.71,1,7900
02/04/2014,567,604.83,562.19,565.106,146700,567,0,604.83,562.19,565.106,1,146700
03/04/2014,569.74,587.28,564.13,569.85,5085200,569.74,0,587.28,564.13,569.85,1,5085200
04/04/2014,543.14,577.77,543,574.65,6351900,543.14,0,577.77,543,574.65,1,6351900
07/04/2014,538.15,548.48,527.15,540.74,4389600,538.15,0,548.48,527.15,540.74,1,4389600
08/04/2014,554.9,555,541.61,542.6,3142600,554.9,0,555,541.61,542.6,1,3142600
09/04/2014,564.14,565.37,552.95,559.62,3321700,564.14,0,565.37,552.95,559.62,1,3321700
10/04/2014,540.95,565,539.9,565,4025800,540.95,0,565,539.9,565,1,4025800
11/04/2014,530.6,540,526.53,532.55,3914100,530.6,0,540,526.53,532.55,1,3914100
14/04/2014,532.52,544.1,529.561,538.25,2568000,532.52,0,544.1,529.561,538.25,1,2568000
15/04/2014,536.44,538.45,518.4601,536.82,3844500,536.44,0,538.45,518.4601,536.82,1,3844500
16/04/2014,556.54,557,540,543,4879900,556.54,0,557,540,543,1,4879900
17/04/2014,536.1,549.5,531.15,548.81,6790900,536.1,0,549.5,531.15,548.81,1,6790900
21/04/2014,528.62,536.7,525.6,536.1,2559700,528.62,0,536.7,525.6,536.1,1,2559700
22/04/2014,534.81,537.23,527.51,528.64,2358900,534.81,0,537.23,527.51,528.64,1,2358900
23/04/2014,526.94,533.87,526.25,533.79,2046700,526.94,0,533.87,526.25,533.79,1,2046700
24/04/2014,525.16,531.65,522.12,530.07,1878000,525.16,0,531.65,522.12,530.07,1,1878000
25/04/2014,516.18,524.7,515.42,522.51,2094600,516.18,0,524.7,515.42,522.51,1,2094600
28/04/2014,517.15,518.6,502.8,517.18,3326400,517.15,0,518.6,502.8,517.18,1,3326400
29/04/2014,527.7,529.46,516.32,516.9,2691700,527.7,0,529.46,516.32,516.9,1,2691700
30/04/2014,526.66,528,522.52,527.6,1746400,526.66,0,528,522.52,527.6,1,1746400
01/05/2014,531.35,532.93,523.88,527.11,1900300,531.35,0,532.93,523.88,527.11,1,1900300
02/05/2014,527.93,533.9999,525.61,533.76,1683900,527.93,0,533.9999,525.61,533.76,1,1683900
05/05/2014,527.81,528.9,521.32,524.82,1021300,527.81,0,528.9,521.32,524.82,1,1021300
06/05/2014,515.14,526.81,515.06,525.23,1684400,515.14,0,526.81,515.06,525.23,1,1684400
07/05/2014,509.96,516.68,503.3,515.79,3215500,509.96,0,516.68,503.3,515.79,1,3215500
08/05/2014,511,517.23,506.45,508.46,2015800,511,0,517.23,506.45,508.46,1,2015800
09/05/2014,518.73,519.9,504.2,510.75,2432800,518.73,0,519.9,504.2,510.75,1,2432800
12/05/2014,529.92,530.19,519.01,523.51,1907300,529.92,0,530.19,519.01,523.51,1,1907300
13/05/2014,533.09,536.07,529.51,530.89,1648900,533.09,0,536.07,529.51,530.89,1,1648900
14/05/2014,526.65,533,525.29,533,1188500,526.65,0,533,525.29,533,1,1188500
15/05/2014,519.98,525.87,517.42,525.7,1699700,519.98,0,525.87,517.42,525.7,1,1699700
16/05/2014,520.63,521.8,515.44,521.39,1481200,520.63,0,521.8,515.44,521.39,1,1481200
19/05/2014,528.86,529.78,517.583,519.7,1274300,528.86,0,529.78,517.583,519.7,1,1274300
20/05/2014,529.77,536.23,526.3,529.74,1779900,529.77,0,536.23,526.3,529.74,1,1779900
21/05/2014,538.94,539.1828,531.91,532.9,1193000,538.94,0,539.1828,531.91,532.9,1,1193000
22/05/2014,545.06,547.5999,540.78,541.13,1611400,545.06,0,547.5999,540.78,541.13,1,1611400
23/05/2014,552.7,553.64,543.7,547.26,1926900,552.7,0,553.64,543.7,547.26,1,1926900
27/05/2014,565.95,566,554.35,556,2098400,565.95,0,566,554.35,556,1,2098400
28/05/2014,561.68,567.84,561,564.57,1647500,561.68,0,567.84,561,564.57,1,1647500
29/05/2014,560.08,564,558.71,563.35,1350400,560.08,0,564,558.71,563.35,1,1350400
30/05/2014,559.89,561.35,555.91,560.8,1766300,559.89,0,561.35,555.91,560.8,1,1766300
02/06/2014,553.93,560.9,545.73,560.7,1431100,553.93,0,560.9,545.73,560.7,1,1431100
03/06/2014,544.94,552.34,542.55,550.99,1861500,544.94,0,552.34,542.55,550.99,1,1861500
04/06/2014,544.66,548.61,538.75,541.5,1811500,544.66,0,548.61,538.75,541.5,1,1811500
05/06/2014,553.9,554.95,544.45,546.4,1684500,553.9,0,554.95,544.45,546.4,1,1684500
06/06/2014,556.33,558.06,548.93,558.06,1732000,556.33,0,558.06,548.93,558.06,1,1732000
09/06/2014,562.12,562.9,556.04,557.15,1463500,562.12,0,562.9,556.04,557.15,1,1463500
10/06/2014,560.55,563.6,557.9,560.51,1348000,560.55,0,563.6,557.9,560.51,1,1348000
11/06/2014,558.84,559.88,555.0201,558,1097100,558.84,0,559.88,555.0201,558,1,1097100
12/06/2014,551.35,557.99,548.46,557.3,1454500,551.35,0,557.99,548.46,557.3,1,1454500
13/06/2014,551.76,552.3,545.56,552.26,1217200,551.76,0,552.3,545.56,552.26,1,1217200
16/06/2014,544.28,549.62,541.52,549.26,1697900,544.28,0,549.62,541.52,549.26,1,1697900
17/06/2014,543.01,545.32,539.33,544.2,1440600,543.01,0,545.32,539.33,544.2,1,1440600
18/06/2014,553.37,553.56,544,544.86,1737000,553.37,0,553.56,544,544.86,1,1737000
19/06/2014,554.9,555,548.51,554.24,2450100,554.9,0,555,548.51,554.24,1,2450100
20/06/2014,556.36,557.58,550.3915,556.85,4496000,556.36,0,557.58,550.3915,556.85,1,4496000
23/06/2014,564.95,565,554.25,555.15,1532600,564.95,0,565,554.25,555.15,1,1532600
24/06/2014,564.62,572.646,561.01,565.19,2201100,564.62,0,572.646,561.01,565.19,1,2201100
25/06/2014,578.65,579.96,565.22,565.26,1964000,578.65,0,579.96,565.22,565.26,1,1964000
26/06/2014,576,582.45,571.85,581,1737200,576,0,582.45,571.85,581,1,1737200
27/06/2014,577.24,579.87,573.8,577.18,2230800,577.24,0,579.87,573.8,577.18,1,2230800
30/06/2014,575.28,579.57,574.75,578.66,1310200,575.28,0,579.57,574.75,578.66,1,1310200
01/07/2014,582.67,584.4,576.65,578.32,1444000,582.67,0,584.4,576.65,578.32,1,1444000
02/07/2014,582.335,585.4399,580.39,583.35,1053500,582.335,0,585.4399,580.39,583.35,1,1053500
03/07/2014,584.73,585.01,580.92,583.35,712200,584.73,0,585.01,580.92,583.35,1,712200
07/07/2014,582.25,586.4299,579.59,583.76,1061700,582.25,0,586.4299,579.59,583.76,1,1061700
08/07/2014,571.09,579.5284,566.135,577.66,1904300,571.09,0,579.5284,566.135,577.66,1,1904300
09/07/2014,576.08,576.72,569.376,571.58,1113700,576.08,0,576.72,569.376,571.58,1,1113700
10/07/2014,571.1,576.59,565.01,565.91,1353000,571.1,0,576.59,565.01,565.91,1,1353000
11/07/2014,579.18,580.85,571.42,571.91,1617300,579.18,0,580.85,571.42,571.91,1,1617300
14/07/2014,584.87,585.21,578.03,582.6,1849000,584.87,0,585.21,578.03,582.6,1,1849000
15/07/2014,584.78,585.8045,576.56,585.74,1618600,584.78,0,585.8045,576.56,585.74,1,1618600
16/07/2014,582.66,588.4,582.2,588,1393300,582.66,0,588.4,582.2,588,1,1393300
17/07/2014,573.7299,580.99,568.61,579.53,3008300,573.7299,0,580.99,568.61,579.53,1,3008300
18/07/2014,595.08,596.8,582,593,4003200,595.08,0,596.8,582,593,1,4003200
21/07/2014,589.47,594.4,585.2326,591.75,2056500,589.47,0,594.4,585.2326,591.75,1,2056500
22/07/2014,594.74,599.65,590.6,590.72,1694500,594.74,0,599.65,590.6,590.72,1,1694500
23/07/2014,595.98,597.85,592.5,593.23,1229800,595.98,0,597.85,592.5,593.23,1,1229800
24/07/2014,593.35,599.5,591.77,596.45,1032300,593.35,0,599.5,591.77,596.45,1,1032300
25/07/2014,589.02,591.86,587.03,590.4,929900,589.02,0,591.86,587.03,590.4,1,929900
28/07/2014,590.6,592.5,584.7533,588.07,984100,590.6,0,592.5,584.7533,588.07,1,984100
29/07/2014,585.61,589.7,583.515,588.75,1346200,585.61,0,589.7,583.515,588.75,1,1346200
30/07/2014,587.42,589.5,584,586.55,1013700,587.42,0,589.5,584,586.55,1,1013700
31/07/2014,571.6,583.6499,570,580.6,2097000,571.6,0,583.6499,570,580.6,1,2097000
01/08/2014,566.07,575.9599,562.85,570.4,1949900,566.07,0,575.9599,562.85,570.4,1,1949900
04/08/2014,573.15,575.35,564.1,569.04,1423400,573.15,0,575.35,564.1,569.04,1,1423400
05/08/2014,565.07,571.98,562.61,570.05,1547000,565.07,0,571.98,562.61,570.05,1,1547000
06/08/2014,566.374,570.7,560,561.78,1330700,566.374,0,570.7,560,561.78,1,1330700
07/08/2014,563.36,569.89,561.1,568,1107900,563.36,0,569.89,561.1,568,1,1107900
08/08/2014,568.77,570.25,560.35,563.56,1490700,568.77,0,570.25,560.35,563.56,1,1490700
11/08/2014,567.88,570.49,566,569.99,1211400,567.88,0,570.49,566,569.99,1,1211400
12/08/2014,562.73,565.9,560.88,564.52,1537800,562.73,0,565.9,560.88,564.52,1,1537800
13/08/2014,574.78,575,565.75,567.31,1437900,574.78,0,575,565.75,567.31,1,1437900
14/08/2014,574.65,577.9,570.88,576.18,982800,574.65,0,577.9,570.88,576.18,1,982800
15/08/2014,573.48,579.38,570.52,577.86,1515000,573.48,0,579.38,570.52,577.86,1,1515000
18/08/2014,582.16,584.51,576,576.11,1280600,582.16,0,584.51,576,576.11,1,1280600
19/08/2014,586.86,587.34,584,585,976000,586.86,0,587.34,584,585,1,976000
20/08/2014,584.49,586.7,582.57,585.88,1033900,584.49,0,586.7,582.57,585.88,1,1033900
21/08/2014,583.37,584.5,581.14,583.82,912300,583.37,0,584.5,581.14,583.82,1,912300
22/08/2014,582.56,585.236,580.64,583.59,786900,582.56,0,585.236,580.64,583.59,1,786900
25/08/2014,580.2,585,579,584.72,1357700,580.2,0,585,579,584.72,1,1357700
26/08/2014,577.86,581.8,576.58,581.26,1635200,577.86,0,581.8,576.58,581.26,1,1635200
27/08/2014,571,578.49,570.103,577.27,1698700,571,0,578.49,570.103,577.27,1,1698700
28/08/2014,569.2,573.25,567.1,569.56,1289400,569.2,0,573.25,567.1,569.56,1,1289400
29/08/2014,571.6,572.04,567.0692,571.33,1080800,571.6,0,572.04,567.0692,571.33,1,1080800
02/09/2014,577.33,577.83,571.19,571.85,1574100,577.33,0,577.83,571.19,571.85,1,1574100
03/09/2014,577.94,582.99,575,580,1211800,577.94,0,582.99,575,580,1,1211800
04/09/2014,581.98,586,579.22,580,1454200,581.98,0,586,579.22,580,1,1454200
05/09/2014,586.08,586.55,581.95,583.98,1627900,586.08,0,586.55,581.95,583.98,1,1627900
08/09/2014,589.72,591.77,586.3,586.6,1427100,589.72,0,591.77,586.3,586.6,1,1427100
09/09/2014,581.01,589,580,588.9,1283700,581.01,0,589,580,588.9,1,1283700
10/09/2014,583.1,583.5,576.94,581.5,974700,583.1,0,583.5,576.94,581.5,1,974700
11/09/2014,581.35,581.81,576.26,580.36,1217700,581.35,0,581.81,576.26,580.36,1,1217700
12/09/2014,575.62,581.64,574.46,581,1597300,575.62,0,581.64,574.46,581,1,1597300
15/09/2014,573.1,574.95,568.21,572.94,1593200,573.1,0,574.95,568.21,572.94,1,1593200
16/09/2014,579.95,581.5,572.66,572.76,1476300,579.95,0,581.5,572.66,572.76,1,1476300
