date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
03/01/2005,92.10432023,93.22212828,91.79807145,93.06900389,56002000,120.3,0,121.76,119.9,121.56,1,56002000
04/01/2005,90.97885597,92.2880695,90.68026341,92.22681975,69270700,118.83,0,120.54,118.44,120.46,1,69270700
05/01/2005,90.35104597,91.30041719,90.34338976,90.90995,65878000,118.01,0,119.25,118,118.74,1,65878000
06/01/2005,90.81041914,91.22385499,90.54245146,90.68026341,48291000,118.61,0,119.15,118.26,118.44,1,48291000
07/01/2005,90.68026341,91.28510475,90.44292061,91.08604304,55857400,118.44,0,119.23,118.13,118.97,1,55857400
10/01/2005,91.1090117,91.4611978,90.60370122,90.60370122,56799100,119,0,119.46,118.34,118.34,1,56799100
11/01/2005,90.48120171,90.90995,90.33573354,90.8333878,63360500,118.18,0,118.74,117.99,118.64,1,63360500
12/01/2005,90.77979427,90.98651219,89.97589122,90.64963853,74306400,118.57,0,118.84,117.52,118.4,1,74306400
13/01/2005,90.05245342,90.90229378,89.96057878,90.8333878,55785800,117.62,0,118.73,117.5,118.64,1,55785800
14/01/2005,90.52713902,90.74916939,90.15964049,90.3204211,42034200,118.24,0,118.53,117.76,117.97,1,42034200
18/01/2005,91.46885402,91.58369731,90.30510866,90.38167085,57454000,119.47,0,119.62,117.95,118.05,1,57454000
19/01/2005,90.51182658,91.50713512,90.50417036,91.43822914,54918200,118.22,0,119.52,118.21,119.43,1,54918200
20/01/2005,89.96057878,90.49651414,89.79979817,90.25917134,72095800,117.5,0,118.2,117.29,117.89,1,72095800
21/01/2005,89.40933098,90.34338976,89.30980013,90.18260915,63275000,116.78,0,118,116.65,117.79,1,63275000
24/01/2005,89.23323793,89.83807927,89.09542598,89.64667378,58562500,116.55,0,117.34,116.37,117.09,1,58562500
25/01/2005,89.48589317,89.93761012,89.36339366,89.50886183,68338500,116.88,0,117.47,116.72,116.91,1,68338500
26/01/2005,89.75386086,90.03714098,89.60839269,89.82276683,57447000,117.23,0,117.6,117.04,117.32,1,57447000
27/01/2005,89.90698525,90.15198427,89.56245537,89.72323598,56664800,117.43,0,117.75,116.98,117.19,1,56664800
28/01/2005,89.90698525,89.99885988,89.27917525,89.95292256,60817900,117.43,0,117.55,116.61,117.49,1,60817900
31/01/2005,90.46588927,90.53479524,90.12135939,90.3204211,54141700,118.16,0,118.25,117.71,117.97,1,54141700
01/02/2005,91.04010573,91.17026146,90.41995195,90.53479524,52016300,118.91,0,119.08,118.1,118.25,1,52016300
02/02/2005,91.31572963,91.56072865,91.03244951,91.15494902,52606500,119.27,0,119.59,118.9,119.06,1,52606500
03/02/2005,91.19323012,91.23151121,90.77979427,91.15494902,49150700,119.11,0,119.16,118.57,119.06,1,49150700
04/02/2005,92.0507267,92.20385109,91.09369926,91.1090117,50024600,120.23,0,120.43,118.98,119,1,50024600
07/02/2005,91.92822719,92.27275706,91.84400877,92.04307048,46216000,120.07,0,120.52,119.96,120.22,1,46216000
08/02/2005,92.03541426,92.37228792,91.92822719,92.00478938,39459400,120.21,0,120.65,120.07,120.17,1,39459400
09/02/2005,91.34635451,92.2497884,91.30041719,92.19619487,55387500,119.31,0,120.49,119.25,120.42,1,55387500
10/02/2005,91.67557194,91.88994609,91.30807341,91.61432219,46023700,119.74,0,120.02,119.26,119.66,1,46023700
